event_path,server name,event_Message,timestamp,event_Timewirtten,event_Id,event_timeCreated,machine_processor_count,event_provider,ip_address,time
System,PTMTACDPN129,The access history in hive ~SystemRoot~System32~Config~RegBack~SAM was cleared updating 76 keys and creating 8 modified pages.,2019-12-30T11:49:07.397Z,2019-12-30T05:48:13Z,16,2019-12-30T11:48:13.013Z,8,Microsoft-Windows-Kernel-General,172.15.113.3,2019-12-30T11:49:07.655Z
System,PTMTACDPN129,The access history in hive ~SystemRoot~System32~Config~RegBack~DEFAULT was cleared updating 237 keys and creating 39 modified pages.,2019-12-30T11:49:07.397Z,2019-12-30T05:48:13Z,16,2019-12-30T11:48:13.004Z,8,Microsoft-Windows-Kernel-General,172.15.113.3,2019-12-30T11:49:07.592Z
System,PTMTACDPN129,The access history in hive ~SystemRoot~System32~Config~RegBack~SYSTEM was cleared updating 7401 keys and creating 738 modified pages.,2019-12-30T11:49:07.397Z,2019-12-30T05:48:12Z,16,2019-12-30T11:48:12.948Z,8,Microsoft-Windows-Kernel-General,172.15.113.3,2019-12-30T11:49:07.525Z
System,PTMTACDPN129,The access history in hive ~SystemRoot~System32~Config~RegBack~SOFTWARE was cleared updating 80767 keys and creating 10210 modified pages.,2019-12-30T11:49:07.397Z,2019-12-30T05:48:12Z,16,2019-12-30T11:48:12.419Z,8,Microsoft-Windows-Kernel-General,172.15.113.3,2019-12-30T11:49:07.461Z
System,PTMTACDPN129,The access history in hive ~SystemRoot~System32~Config~RegBack~SECURITY was cleared updating 67 keys and creating 5 modified pages.,2019-12-30T11:49:07.397Z,2019-12-30T05:48:10Z,16,2019-12-30T11:48:10.99Z,8,Microsoft-Windows-Kernel-General,172.15.113.3,2019-12-30T11:49:07.386Z
System,PTMTACDPA366,The access history in hive ~SystemRoot~System32~Config~RegBack~SAM was cleared updating 83 keys and creating 8 modified pages.,2019-12-30T11:32:23.183Z,2019-12-30T05:15:14Z,16,2019-12-30T11:15:14.673Z,4,Microsoft-Windows-Kernel-General,12.2.19.17,2019-12-30T11:32:23.303Z
System,PTMTACDPA366,The access history in hive ~SystemRoot~System32~Config~RegBack~DEFAULT was cleared updating 278 keys and creating 54 modified pages.,2019-12-30T11:32:23.183Z,2019-12-30T05:15:14Z,16,2019-12-30T11:15:14.654Z,4,Microsoft-Windows-Kernel-General,12.2.19.17,2019-12-30T11:32:23.24Z
System,PTMTACDPA366,The access history in hive ~SystemRoot~System32~Config~RegBack~SYSTEM was cleared updating 7839 keys and creating 893 modified pages.,2019-12-30T11:32:23.183Z,2019-12-30T05:15:14Z,16,2019-12-30T11:15:14.535Z,4,Microsoft-Windows-Kernel-General,12.2.19.17,2019-12-30T11:32:23.177Z
System,PTMTACDPA366,The access history in hive ~SystemRoot~System32~Config~RegBack~SOFTWARE was cleared updating 106919 keys and creating 14471 modified pages.,2019-12-30T11:32:23.183Z,2019-12-30T05:15:13Z,16,2019-12-30T11:15:13.985Z,4,Microsoft-Windows-Kernel-General,12.2.19.17,2019-12-30T11:32:23.105Z
System,PTMTACDPA366,The access history in hive ~SystemRoot~System32~Config~RegBack~SECURITY was cleared updating 105 keys and creating 10 modified pages.,2019-12-30T11:32:23.183Z,2019-12-30T05:15:11Z,16,2019-12-30T11:15:11.056Z,4,Microsoft-Windows-Kernel-General,12.2.19.17,2019-12-30T11:32:23.042Z
System,JTPTMTTT000,The access history in hive ~SystemRoot~System32~Config~RegBack~SAM was cleared updating 76 keys and creating 8 modified pages.,2019-12-30T11:14:49.763Z,2019-12-30T05:02:27Z,16,2019-12-30T11:02:27.625Z,2,Microsoft-Windows-Kernel-General,20.177.129.62,2019-12-30T11:14:45.601Z
System,JTPTMTTT000,The access history in hive ~SystemRoot~System32~Config~RegBack~DEFAULT was cleared updating 238 keys and creating 40 modified pages.,2019-12-30T11:14:47.805Z,2019-12-30T05:02:27Z,16,2019-12-30T11:02:27.609Z,2,Microsoft-Windows-Kernel-General,20.177.129.62,2019-12-30T11:14:45.085Z
System,JTPTMTTT000,The access history in hive ~SystemRoot~System32~Config~RegBack~SYSTEM was cleared updating 6789 keys and creating 810 modified pages.,2019-12-30T11:14:47.805Z,2019-12-30T05:02:27Z,16,2019-12-30T11:02:27.578Z,2,Microsoft-Windows-Kernel-General,20.177.129.62,2019-12-30T11:14:44.57Z
System,JTPTMTTT000,The access history in hive ~SystemRoot~System32~Config~RegBack~SOFTWARE was cleared updating 59383 keys and creating 9096 modified pages.,2019-12-30T11:14:45.554Z,2019-12-30T05:02:27Z,16,2019-12-30T11:02:27.234Z,2,Microsoft-Windows-Kernel-General,20.177.129.62,2019-12-30T11:14:44.054Z
System,JTPTMTTT000,The access history in hive ~SystemRoot~System32~Config~RegBack~SECURITY was cleared updating 76 keys and creating 5 modified pages.,2019-12-30T11:14:43.965Z,2019-12-30T05:02:24Z,16,2019-12-30T11:02:24.89Z,2,Microsoft-Windows-Kernel-General,20.177.129.62,2019-12-30T11:14:43.523Z
